Date,Price,Open,High,Low,Vol.,Change %
28-Oct-19,303.3,302.94,303.85,302.91,42.15M,0.56%
25-Oct-19,301.6,299.74,302.2,299.68,45.21M,0.41%
24-Oct-19,300.37,300.91,301.07,299.46,35.86M,0.16%
23-Oct-19,299.88,298.73,299.94,298.5,34.99M,0.29%
22-Oct-19,299.01,300.58,300.9,298.91,49.13M,-0.33%
21-Oct-19,299.99,299.42,300.21,298.94,39.46M,0.68%
18-Oct-19,297.97,298.69,299.39,296.99,64.34M,-0.44%
17-Oct-19,299.28,299.68,300.24,298.51,46.78M,0.29%
16-Oct-19,298.4,298.37,299.16,297.92,50.56M,-0.16%
15-Oct-19,298.88,297.1,299.7,296.97,47.83M,0.99%
14-Oct-19,295.95,295.93,296.67,295.57,40.55M,-0.11%
11-Oct-19,296.28,296.27,298.74,296.14,101.23M,1.04%
10-Oct-19,293.24,291.18,294.21,291,57.26M,0.68%
9-Oct-19,291.27,290.75,292.3,288.66,65.71M,0.95%
8-Oct-19,288.53,291.04,291.85,288.49,101.58M,-1.55%
7-Oct-19,293.08,293.47,295.26,292.77,60.66M,-0.43%
4-Oct-19,294.35,291.14,294.63,290.82,66.70M,1.35%
3-Oct-19,290.42,287.81,290.45,284.82,85.91M,0.82%
2-Oct-19,288.06,291.5,291.51,286.64,124.52M,-1.77%
1-Oct-19,293.24,297.74,298.45,293,89.90M,-1.19%
30-Sep-19,296.77,295.97,297.55,295.92,52.56M,0.46%
27-Sep-19,295.4,297.83,297.95,293.69,84.78M,-0.54%
26-Sep-19,297,297.63,297.86,295.45,58.72M,-0.21%
25-Sep-19,297.62,295.96,298.11,294.33,73.43M,0.59%
24-Sep-19,295.87,299.41,299.84,294.81,97.37M,-0.78%
23-Sep-19,298.21,297.55,299,297.27,47.54M,-0.02%
20-Sep-19,298.28,300.36,300.67,297.41,97.46M,-0.93%
19-Sep-19,301.08,301.53,302.63,300.71,78.10M,-0.01%
18-Sep-19,301.1,300.49,301.22,298.24,74.19M,0.06%
17-Sep-19,300.92,299.94,301.02,299.75,42.90M,0.25%
16-Sep-19,300.16,299.84,301.14,299.45,58.19M,-0.31%
13-Sep-19,301.09,301.78,302.17,300.68,62.10M,-0.07%
12-Sep-19,301.29,301.25,302.46,300.41,72.91M,0.35%
11-Sep-19,300.25,298.47,300.34,297.75,68.82M,0.71%
10-Sep-19,298.13,297.36,298.2,295.97,57.95M,-0.02%
9-Sep-19,298.2,299.14,299.24,297.16,51.26M,0.05%
6-Sep-19,298.05,298.17,298.76,297.42,49.58M,0.08%
5-Sep-19,297.82,296.79,298.83,294,83.36M,1.29%
4-Sep-19,294.04,293.14,294.06,292.31,47.00M,1.14%
3-Sep-19,290.74,290.57,291.58,289.27,69.23M,-0.58%
30-Aug-19,292.45,294.22,294.24,291.42,62.96M,-0.04%
29-Aug-19,292.58,291.72,293.16,290.61,58.00M,1.28%
28-Aug-19,288.89,286.14,289.07,285.25,59.85M,0.70%
27-Aug-19,286.87,289.54,289.95,286.03,68.26M,-0.39%
26-Aug-19,288,287.27,288,285.58,72.62M,1.11%
23-Aug-19,284.85,290.92,292.76,283.47,149.32M,-2.57%
22-Aug-19,292.36,293.23,293.93,290.4,51.74M,-0.03%
21-Aug-19,292.45,292.48,292.86,291.72,49.72M,0.81%
20-Aug-19,290.09,291.77,292.36,289.95,51.65M,-0.77%
19-Aug-19,292.33,292.19,293.08,291.44,53.64M,1.20%
16-Aug-19,288.85,286.48,289.33,284.71,85.83M,1.48%
15-Aug-19,284.65,284.88,285.64,282.39,101.93M,0.26%
14-Aug-19,283.9,288.07,292.46,283.76,135.62M,-2.96%
13-Aug-19,292.55,287.74,294.15,287.36,94.79M,1.56%
12-Aug-19,288.07,289.96,291.61,287.02,65.53M,-1.22%
9-Aug-19,291.62,292.58,293.24,289.65,93.73M,-0.68%
8-Aug-19,293.62,289.62,293.62,289.01,87.71M,1.96%
7-Aug-19,287.97,284.4,288.82,282.04,140.57M,0.06%
6-Aug-19,287.8,285.91,288.04,284.28,120.71M,1.40%
5-Aug-19,283.82,288.09,288.21,281.72,178.75M,-3.01%
2-Aug-19,292.62,293.85,294.12,290.9,116.75M,-0.75%
1-Aug-19,294.84,297.6,300.87,293.96,142.65M,-0.87%
31-Jul-19,297.43,300.99,301.2,295.2,104.25M,-1.09%
30-Jul-19,300.72,299.91,301.17,299.49,45.85M,-0.25%
29-Jul-19,301.46,301.88,301.93,300.85,38.13M,-0.18%
26-Jul-19,302.01,300.76,302.23,300.62,45.08M,0.67%
25-Jul-19,300,300.94,301,299.11,55.39M,-0.48%
24-Jul-19,301.44,299.19,301.44,299.09,47.21M,0.47%
23-Jul-19,300.03,299.14,300.03,298.22,44.66M,0.72%
22-Jul-19,297.9,297.61,298.5,297.04,43.69M,0.25%
19-Jul-19,297.17,300.04,300.07,296.96,71.08M,-0.56%
18-Jul-19,298.83,297.19,299.25,296.7,51.70M,0.37%
17-Jul-19,297.74,299.75,299.93,297.74,44.10M,-0.66%
16-Jul-19,299.71,300.65,300.88,299.44,40.57M,-0.35%
15-Jul-19,300.75,301.13,301.13,300.19,33.91M,0.03%
12-Jul-19,300.65,299.85,300.73,299.51,40.35M,0.45%
11-Jul-19,299.31,299.32,299.58,298.2,50.89M,0.23%
10-Jul-19,298.61,298.37,299.66,297.78,58.60M,0.48%
9-Jul-19,297.19,295.54,297.52,295.48,41.10M,0.12%
8-Jul-19,296.82,297.01,298.26,296.22,45.84M,-0.55%
5-Jul-19,298.46,297.44,298.64,296.01,51.68M,-0.11%
3-Jul-19,298.8,297.18,298.82,297.02,40.90M,0.80%
2-Jul-19,296.43,295.61,296.49,294.68,61.50M,0.26%
1-Jul-19,295.66,296.68,296.92,294.33,79.11M,0.91%
28-Jun-19,293,292.58,293.55,292.01,59.35M,0.51%
27-Jun-19,291.5,291.31,292.06,290.89,40.36M,0.35%
26-Jun-19,290.47,291.75,292.31,290.35,51.58M,-0.10%
25-Jun-19,290.76,293.7,293.73,290.64,82.03M,-0.98%
24-Jun-19,293.64,294.23,294.58,293.47,47.58M,-0.12%
21-Jun-19,294,294.13,295.52,293.76,83.31M,-0.63%
20-Jun-19,295.86,296.04,296.31,293.13,116.57M,0.96%
19-Jun-19,293.06,292.55,293.65,291.47,78.67M,0.23%
18-Jun-19,292.4,291.39,293.57,290.99,85.43M,1.05%
17-Jun-19,289.37,289.52,290.22,289.18,39.21M,0.04%
14-Jun-19,289.26,289.26,289.93,288.41,52.32M,-0.11%
13-Jun-19,289.58,289.4,289.98,288.62,48.95M,0.41%
12-Jun-19,288.39,288.64,289.26,287.81,47.10M,-0.18%
11-Jun-19,288.9,290.99,291.4,288.18,58.64M,-0.02%
10-Jun-19,288.97,289.37,290.82,288.87,60.80M,0.46%
7-Jun-19,287.65,285.93,288.85,285.74,74.27M,1.00%
6-Jun-19,284.8,283.29,285.55,282.57,69.43M,0.65%
5-Jun-19,282.96,282.33,282.99,280.32,71.17M,0.87%
4-Jun-19,280.53,277.12,280.68,276.62,77.23M,2.17%
3-Jun-19,274.57,275.31,276.55,273.09,96.43M,-0.25%
31-May-19,275.27,276.2,277.12,275.24,86.86M,-1.35%
30-May-19,279.03,279.11,280.04,277.81,62.52M,0.27%
29-May-19,278.27,278.91,279.36,276.71,104.97M,-0.67%
28-May-19,280.15,283.09,284.15,280.13,70.03M,-0.93%
24-May-19,282.78,283.74,284.2,282.09,55.27M,0.23%
23-May-19,282.14,283.16,283.21,280.57,98.73M,-1.22%
22-May-19,285.63,285.45,286.69,285.1,49.48M,-0.31%
21-May-19,286.51,285.83,286.93,285.55,46.85M,0.90%
20-May-19,283.95,284.06,285.43,283.12,62.88M,-0.66%
17-May-19,285.84,285.14,288.6,285.12,100.35M,-0.65%
16-May-19,287.7,285.84,289.21,285.76,76.75M,0.93%
15-May-19,285.06,281.59,285.77,281.36,73.96M,0.59%
14-May-19,283.4,281.99,285.1,281.85,77.00M,0.90%
13-May-19,280.86,282.42,283.49,279.93,127.29M,-2.51%
10-May-19,288.1,285.62,288.94,282.3,112.43M,0.50%
9-May-19,286.66,285.23,287.33,283.3,103.47M,-0.30%
8-May-19,287.53,287.53,289.43,286.87,91.57M,-0.14%
7-May-19,287.93,290.15,290.81,285.81,144.73M,-1.67%
6-May-19,292.82,289.25,293.31,288.9,107.20M,-0.41%
3-May-19,294.03,292.82,294.34,291.3,56.54M,0.98%
2-May-19,291.18,291.68,292.7,289.52,65.03M,-0.22%
1-May-19,291.81,294.72,294.95,291.8,71.67M,-0.75%
30-Apr-19,294.02,293.49,294.34,291.92,81.11M,0.05%
29-Apr-19,293.87,293.51,294.45,293.41,57.20M,0.16%
26-Apr-19,293.41,292.1,293.49,291.24,50.92M,0.47%
25-Apr-19,292.05,292.12,292.78,290.73,57.77M,-0.06%
24-Apr-19,292.23,292.79,293.16,292.07,50.39M,-0.22%
23-Apr-19,292.88,290.68,293.14,290.42,52.25M,0.90%
22-Apr-19,290.27,289.17,290.44,289.07,40.16M,0.09%
18-Apr-19,290.02,290.1,290.32,288.66,68.71M,0.20%
17-Apr-19,289.45,291.4,291.43,288.99,58.27M,-0.24%
16-Apr-19,290.16,290.95,291.01,289.5,52.15M,0.07%
15-Apr-19,289.97,290.24,290.35,289.07,49.60M,-0.07%
12-Apr-19,290.16,290,290.47,288.26,69.73M,0.68%
